,Make,Model,Body color,Interior color,Interior material,Body,Doors,Seats,VIN,Fuel,Transmission,Drive type,Power,Engine capacity,CO2 emissions,Emission class,Mileage,First registration,Previous owners,Type of finish,Weight,Condition,Country of origin,Warranty until,Valid MOT until,Battery type,Battery capacity,Range extender,Hybrid type,AC charging time,DC charging time,Electric range,Secondary drive,Energy efficiency,Full service history,Price
0,Fiat,500X,Blue,Other interior color,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,111 kW,1 332 ccm,140 g/km,Euro 6d,14 117 km,2/2022,2,,,,,,,,,,,,,,,,,28899
1,Ford,Focus,Black,Other interior color,Cloth interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,88 kW,1 498 ccm,98 g/km,No emission class,85 400 km,6/2020,,Metallic,1395,Used,Germany,,,,,,,,,,,,,18799
2,Peugeot,208,White,,,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,74 kW,1 199 ccm,97 g/km,Euro 6,54 030 km,6/2020,1,,,Used,,12/2024,,,,,,,,,,,,18599
3,Volkswagen,T-Roc,White,Grey interior,Cloth interior,Cabriolet,4/5 doors,4,not published by the seller,Petrol,Automatic,4x2,110 kW,1 498 ccm,130 g/km,Euro 6d,5 000 km,8/2023,1,,,Demonstration car,,,,,,,,,,,,,,42649
4,Jeep,Wrangler,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,209 kW,3 604 ccm,276 g/km,Euro 6,77 897 km,1/2019,,,,Used,Germany,,,,,,,,,,,,,59999
5,Volkswagen,T7 Multivan,Blue,Black interior,Full leather interior,MPV/VAN,4/5 doors,7,not published by the seller,Hybrid,Automatic,4x2,160 kW,1 395 ccm,154 g/km,Euro 6d,22 270 km,5/2022,,Metallic,2202,Used,Germany,,,,,,,,,,,,,68949
6,Audi,S5,Grey,Black interior,Alcantara interior,Coupe,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,255 kW,2 967 ccm,161 g/km,Euro 6d-TEMP,43 800 km,7/2020,2,Metallic,,,,,,,,,,,,,,,,56049
7,BMW,118,White,,,Hatchback,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,103 kW,1 499 ccm,111 g/km,Euro 6,18 104 km,12/2019,1,,,Used,,12/2025,,,,,,,,,,,,29649
8,MINI,Cooper S Cabrio,White,Other interior color,Full leather interior,Cabriolet,2/3 doors,4,not published by the seller,Petrol,Automatic,4x2,141 kW,1 998 ccm,121 g/km,Euro 6d-TEMP,22 193 km,9/2020,1,,,,,,09/2025,,,,,,,,,,,33149
9,Skoda,Enyaq,Black,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,150 kW,,0 g/km,No emission class,15 000 km,4/2022,,,2075,Used,,,,Lithium-ion (Li-ion),82 kWh,No,,,,,,,,51849
10,Mercedes-Benz,Sprinter,White,Black interior,Cloth interior,Cargo VAN,4/5 doors,6,not published by the seller,Diesel,Manual,4x2,105 kW,2 143 ccm,213 g/km,Euro 6,79 300 km,10/2018,,,,,,,,,,,,,,,,,,44299
11,Fiat,Panda,Black,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,51 kW,999 ccm,89 g/km,Euro 6d,1 km,10/2023,,,1045,,,,,,,,,,,,,,,16249
12,Chevrolet,Aveo,Blue,Other interior color,Other interior material,Sedans / saloons,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,85 kW,1 598 ccm,156 g/km,Euro 5,85 000 km,7/2011,,Metallic,,,,,,,,,,,,,,,,5799
13,Seat,Leon,Black,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,85 kW,1 598 ccm,108 g/km,Euro 6,166 400 km,8/2017,2,Metallic,,,,,,,,,,,,,,,,10899
14,Skoda,Kodiaq,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,110 kW,1 968 ccm,133 g/km,Euro 6d,6 812 km,8/2023,,Metallic,1784,Used,Germany,,,,,,,,,,,,,51549
15,Mercedes-Benz,A 200,Red,Black interior,Part leather interior,Sedans / saloons,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,110 kW,1 950 ccm,132 g/km,Euro 6d,38 907 km,9/2021,,Metallic,,,,,,,,,,,,,,,,36299
16,Opel,Astra,Black,Other interior color,Part leather interior,Sedans / saloons,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,81 kW,1 199 ccm,102 g/km,Euro 6d,20 000 km,7/2022,1,Metallic,,,,,07/2025,,,,,,,,,,,21499
17,Citroen,C3,Grey,,,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,61 kW,1 199 ccm,100 g/km,Euro 6,20 974 km,2/2023,1,,,Used,,12/2025,,,,,,,,,,,,19599
18,Ford,Ranger,Grey,Black interior,Part leather interior,Pick-up,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,156 kW,1 996 ccm,179 g/km,Euro 6d,1 km,2/2023,,Metallic,,,Germany,,,,,,,,,,,,,46849
19,Volkswagen,Golf,Grey,Black interior,Alcantara interior,Station Wagon,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,110 kW,1 498 ccm,122 g/km,Euro 6,66 692 km,11/2019,2,,,,,,04/2025,,,,,,,,,,,21299
20,Fiat,500X,Blue,Other interior color,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,111 kW,1 332 ccm,140 g/km,Euro 6d,14 117 km,2/2022,2,,,,,,,,,,,,,,,,,28899
21,Ford,Focus,Black,Other interior color,Cloth interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,88 kW,1 498 ccm,98 g/km,No emission class,85 400 km,6/2020,,Metallic,1395,Used,Germany,,,,,,,,,,,,,18799
22,Peugeot,208,White,,,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,74 kW,1 199 ccm,97 g/km,Euro 6,54 030 km,6/2020,1,,,Used,,12/2024,,,,,,,,,,,,18599
23,Volkswagen,T-Roc,White,Grey interior,Cloth interior,Cabriolet,4/5 doors,4,not published by the seller,Petrol,Automatic,4x2,110 kW,1 498 ccm,130 g/km,Euro 6d,5 000 km,8/2023,1,,,Demonstration car,,,,,,,,,,,,,,42649
24,Jeep,Wrangler,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,209 kW,3 604 ccm,276 g/km,Euro 6,77 897 km,1/2019,,,,Used,Germany,,,,,,,,,,,,,59999
25,Volkswagen,T7 Multivan,Blue,Black interior,Full leather interior,MPV/VAN,4/5 doors,7,not published by the seller,Hybrid,Automatic,4x2,160 kW,1 395 ccm,154 g/km,Euro 6d,22 270 km,5/2022,,Metallic,2202,Used,Germany,,,,,,,,,,,,,68949
26,Audi,S5,Grey,Black interior,Alcantara interior,Coupe,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,255 kW,2 967 ccm,161 g/km,Euro 6d-TEMP,43 800 km,7/2020,2,Metallic,,,,,,,,,,,,,,,,56049
27,BMW,118,White,,,Hatchback,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,103 kW,1 499 ccm,111 g/km,Euro 6,18 104 km,12/2019,1,,,Used,,12/2025,,,,,,,,,,,,29649
28,Mercedes-Benz,Sprinter,White,Black interior,Cloth interior,Cargo VAN,4/5 doors,6,not published by the seller,Diesel,Manual,4x2,105 kW,2 143 ccm,213 g/km,Euro 6,79 300 km,10/2018,,,,,,,,,,,,,,,,,,44299
29,MINI,Cooper S Cabrio,White,Other interior color,Full leather interior,Cabriolet,2/3 doors,4,not published by the seller,Petrol,Automatic,4x2,141 kW,1 998 ccm,121 g/km,Euro 6d-TEMP,22 193 km,9/2020,1,,,,,,09/2025,,,,,,,,,,,33149
30,Skoda,Enyaq,Black,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,150 kW,,0 g/km,No emission class,15 000 km,4/2022,,,2075,Used,,,,Lithium-ion (Li-ion),82 kWh,No,,,,,,,,51849
31,Fiat,Panda,Black,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,51 kW,999 ccm,89 g/km,Euro 6d,1 km,10/2023,,,1045,,,,,,,,,,,,,,,16249
32,Chevrolet,Aveo,Blue,Other interior color,Other interior material,Sedans / saloons,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,85 kW,1 598 ccm,156 g/km,Euro 5,85 000 km,7/2011,,Metallic,,,,,,,,,,,,,,,,5799
33,Seat,Leon,Black,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,85 kW,1 598 ccm,108 g/km,Euro 6,166 400 km,8/2017,2,Metallic,,,,,,,,,,,,,,,,10899
34,Skoda,Kodiaq,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,110 kW,1 968 ccm,133 g/km,Euro 6d,6 812 km,8/2023,,Metallic,1784,Used,Germany,,,,,,,,,,,,,51549
35,Mercedes-Benz,A 200,Red,Black interior,Part leather interior,Sedans / saloons,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,110 kW,1 950 ccm,132 g/km,Euro 6d,38 907 km,9/2021,,Metallic,,,,,,,,,,,,,,,,36299
36,Opel,Astra,Black,Other interior color,Part leather interior,Sedans / saloons,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,81 kW,1 199 ccm,102 g/km,Euro 6d,20 000 km,7/2022,1,Metallic,,,,,07/2025,,,,,,,,,,,21499
37,Citroen,C3,Grey,,,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,61 kW,1 199 ccm,100 g/km,Euro 6,20 974 km,2/2023,1,,,Used,,12/2025,,,,,,,,,,,,19599
38,Ford,Ranger,Grey,Black interior,Part leather interior,Pick-up,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,156 kW,1 996 ccm,179 g/km,Euro 6d,1 km,2/2023,,Metallic,,,Germany,,,,,,,,,,,,,46849
39,Volkswagen,Golf,Grey,Black interior,Alcantara interior,Station Wagon,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,110 kW,1 498 ccm,122 g/km,Euro 6,66 692 km,11/2019,2,,,,,,04/2025,,,,,,,,,,,21299
40,Hyundai,Tucson,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,110 kW,1 598 ccm,139 g/km,Euro 6d,25 km,7/2023,,,1663,,Germany,,,,,No,Mild hybrid,,,,,,,32049
41,Volvo,S60,Grey,Black interior,Part leather interior,Sedans / saloons,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x4,288 kW,1 969 ccm,46 g/km,Euro 6d,48 030 km,2/2022,1,Metallic,,,,,02/2025,Lithium-ion (Li-ion),12 kWh,No,Plug-in hybrid,3 h,,,,,,45549
42,Opel,Corsa,Red,Other interior color,Alcantara interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,74 kW,1 199 ccm,99 g/km,Euro 6d,12 km,9/2023,1,Metallic,,,,,,,,,,,,,,,,28349
43,Nissan,Micra,White,,,Hatchback,,,not published by the seller,Petrol,Manual,4x2,68 kW,999 ccm,121 g/km,,28 870 km,7/2021,,,,,,,,,,,,,,,,,,13749
44,Renault,Koleos,White,Other interior color,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,140 kW,1 997 ccm,150 g/km,Euro 6d-TEMP,63 911 km,11/2019,1,,,,,,,,,,,,,,,,,29949
45,Mercedes-Benz,Vito,Grey,Black interior,Other interior material,Cargo VAN,4/5 doors,4,not published by the seller,Diesel,Automatic,4x2,140 kW,2 143 ccm,158 g/km,Euro 6,112 258 km,6/2019,1,Metallic,,,,,,,,,,,,,,,,38299
46,Citroen,C4,Grey,Grey interior,Part leather interior,Hatchback,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,100 kW,,0 g/km,No emission class,24 401 km,9/2022,,Metallic,1536,Used,,,,,,,,,,,,,,42949
47,Volkswagen,T-Cross,Black,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,81 kW,999 ccm,110 g/km,Euro 6d,20 082 km,2/2023,1,Metallic,,,,,,,,,,,,,,,,23399
48,Volkswagen,Passat,Grey,Black interior,Full leather interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,176 kW,1 968 ccm,157 g/km,Euro 6d-TEMP,56 264 km,11/2019,1,,,,,,,,,,,,,,,,,35099
49,Mercedes-Benz,C 180,Silver,Grey interior,Cloth interior,Station Wagon,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,115 kW,1 796 ccm,194 g/km,Euro 5,114 000 km,6/2010,,Metallic,,,,,,,,,,,,,,,,12399
50,Kia,cee'd / Ceed,Black,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,100 kW,1 598 ccm,102 g/km,Euro 6,100 284 km,6/2020,,Metallic,1425,Used,Germany,,,,,,,,,,,,,17849
51,Audi,Q8,Grey,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Electric,Automatic,4x4,300 kW,,0 g/km,No emission class,9 900 km,7/2023,1,Metallic,,Demonstration car,,,07/2026,,,,,,,,,,,87049
52,Volkswagen,Golf Plus,Silver,Black interior,Cloth interior,MPV,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,77 kW,1 197 ccm,139 g/km,Euro 5,53 000 km,12/2011,1,Metallic,,,,,12/2024,,,,,,,,,,,11399
53,Opel,Corsa,Blue,Other interior color,Cloth interior,Hatchback,4/5 doors,,not published by the seller,Electric,Automatic,4x2,100 kW,,0 g/km,No emission class,100 km,9/2023,1,Metallic,,Used,,,,Lithium-ion (Li-ion),50 kWh,No,,,30 min,,,,,27399
54,Audi,SQ8,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,373 kW,3 996 ccm,275 g/km,Euro 6d-TEMP,63 100 km,12/2020,1,Metallic,,,,,,,,,,,,,,,,95549
55,Citroen,C3 Aircross,Grey,Grey interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,73 kW,1 560 ccm,101 g/km,Euro 6,58 200 km,12/2017,,Metallic,,Used,Germany,,,,,,,,,,,,,13849
56,Mercedes-Benz,E 400,Silver,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,245 kW,3 498 ccm,173 g/km,Euro 6,48 900 km,6/2018,1,Metallic,,,,,,,,,,,,,,,,40549
57,Land Rover,Range Rover Velar,Grey,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,221 kW,2 993 ccm,167 g/km,Euro 6d,12 500 km,8/2018,1,Metallic,,,,,08/2025,,,,,,,,,,,54899
58,Volkswagen,Golf,Silver,Grey interior,Cloth interior,Station Wagon,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,85 kW,999 ccm,112 g/km,Euro 6d,100 000 km,8/2018,,Metallic,1300,Used,,,,,,,,,,,,,,13899
59,Fiat,500,Green,Black interior,Cloth interior,Hatchback,2/3 doors,4,not published by the seller,Electric,Automatic,4x2,70 kW,,0 g/km,No emission class,1 km,10/2023,,Metallic,1255,,,,,Lithium-ion (Li-ion),24 kWh,No,,3 h,30 min,,,,,20999
60,Citroen,C3 Aircross,Red,,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,81 kW,1 499 ccm,94 g/km,Euro 6,84 261 km,10/2020,1,Pearl,,Used,,12/2024,,,,,,,,,,,,16849
61,Mercedes-Benz,C 220,Blue,Black interior,Other interior material,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,125 kW,2 143 ccm,114 g/km,Euro 6,57 750 km,10/2016,2,Metallic,,,,,,,,,,,,,,,,22049
62,Fiat,500,,Other interior color,Other interior material,Hatchback,2/3 doors,4,not published by the seller,Electric,Automatic,4x2,87 kW,,0 g/km,No emission class,10 km,6/2023,,,1365,,Italy,,,Lithium-ion (Li-ion),42 kWh,No,,4 h,34 min,,,,,30149
63,Opel,Insignia,Red,Black interior,,Sedans / saloons,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,169 kW,1 998 ccm,163 g/km,Euro 6,9 000 km,5/2021,1,,,Used,,12/2025,,,,,,,,,,,,41899
64,Mercedes-Benz,CLA 220 Shooting Brake,Silver,Black interior,Cloth interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,130 kW,2 143 ccm,105 g/km,Euro 6,51 618 km,12/2018,2,,,,,,,,,,,,,,,,,29849
65,Fiat,500X,Green,Black interior,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,95 kW,1 598 ccm,115 g/km,Euro 6,41 700 km,7/2021,,Metallic,,,,,,,,,,,,,,,,19549
66,Hyundai,Tucson,,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,132 kW,1 598 ccm,129 g/km,Euro 6d,15 km,7/2023,,,1764,New,Germany,,,,,,,,,,,,,39449
67,Mazda,6,Blue,Other interior color,Full leather interior,Station Wagon,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,143 kW,2 488 ccm,156 g/km,Euro 6d,49 990 km,5/2022,1,Metallic,,,,,05/2025,,,,,,,,,,,29949
68,Volkswagen,Golf,Grey,,,Hatchback,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,85 kW,1 968 ccm,99 g/km,Euro 6,94 000 km,6/2021,,Metallic,,Used,,12/2024,,,,,,,,,,,,21399
69,Opel,Corsa,Red,,,Hatchback,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,100 kW,,0 g/km,Euro 6,6 682 km,6/2022,,,,Used,,,,Lithium-ion (Li-ion),50 kWh,No,,,30 min,359 km,,,,33799
70,Mercedes-Benz,E 400,Grey,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,245 kW,3 498 ccm,173 g/km,Euro 6,105 000 km,5/2017,2,Metallic,,,,,,,,,,,,,,,,30449
71,Mercedes-Benz,E 300,Grey,Black interior,Full leather interior,Station Wagon,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x2,225 kW,1 950 ccm,147 g/km,Euro 6d-TEMP,70 663 km,10/2019,1,,,,,,,,,,,,,,,,,38149
72,BMW,118,White,Grey interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,100 kW,1 499 ccm,129 g/km,Euro 6d,17 600 km,9/2022,1,,,,,,,,,,,,,,,,,24999
73,Peugeot,308,White,Black interior,Alcantara interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,96 kW,1 499 ccm,0 g/km,Euro 6d,35 000 km,3/2022,,Metallic,1475,Used,Germany,,,,,,,,,,,,,33049
74,Peugeot,2008,Grey,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,100 kW,,0 g/km,No emission class,22 043 km,4/2022,,Metallic,,,,,,,,,,,,,,,,25949
75,RAM,1500,Grey,,,Pick-up,4/5 doors,4,not published by the seller,Petrol,Automatic,4x2,516 kW,6 200 ccm,0 g/km,,500 km,1/2023,,,,Used,,12/2028,,,,,,,,,,,,183749
76,Land Rover,Range Rover Sport,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,390 kW,4 395 ccm,0 g/km,Euro 6d-TEMP,9 990 km,3/2023,1,Metallic,,,,,03/2026,,,,,,,,,,,169049
77,Opel,Mokka,White,Grey interior,Part leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,100 kW,,0 g/km,No emission class,2 km,7/2023,,,1598,,,,,,,,,,,,,,,33249
78,Toyota,C-HR,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x2,135 kW,1 987 ccm,92 g/km,Euro 6d,38 400 km,9/2020,2,Metallic,,,,,,Nickel-metal hydride (NiMH),1 kWh,No,Full hybrid,,,,,,,28349
79,Volvo,V60,Grey,Black interior,Full leather interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,110 kW,1 969 ccm,123 g/km,Euro 6d,36 000 km,8/2019,,Metallic,1738,Used,Belgium,,,,,,,,,,,,,27399
80,Alfa Romeo,Tonale,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x2,206 kW,1 332 ccm,1 g/km,Euro 6,8 km,6/2023,,Metallic,,Demonstration car,,,,,,,,,,,,,,50249
81,Fiat,500,Red,,,Hatchback,2/3 doors,4,not published by the seller,Petrol,Manual,4x2,51 kW,999 ccm,88 g/km,Euro 6,18 708 km,6/2022,1,,,Used,,12/2024,,,,,,,,,,,,16399
82,Mercedes-Benz,E 200,White,,,Station Wagon,,,not published by the seller,Diesel,Automatic,4x2,110 kW,1 950 ccm,138 g/km,,140 870 km,9/2019,,,,,,,,,,,,,,,,,,25899
83,Mazda,CX-5,Blue,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,121 kW,1 998 ccm,146 g/km,Euro 6d,0 km,8/2023,,Metallic,,New,,,,,,No,Mild hybrid,,,,,,,34299
84,Volkswagen,Golf,Silver,Black interior,Cloth interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,85 kW,1 968 ccm,106 g/km,Euro 6d-TEMP,0 km,5/2023,,Metallic,1571,New,Germany,,,,,,,,,,,,,42499
85,Audi,RS5,Black,Black interior,Full leather interior,Coupe,2/3 doors,4,not published by the seller,Petrol,Automatic,4x4,331 kW,2 894 ccm,208 g/km,Euro 6,4 999 km,9/2023,1,,,Demonstration car,,,09/2026,,,,,,,,,,,102949
86,Volkswagen,T-Roc,Black,Black interior,Alcantara interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,140 kW,1 984 ccm,145 g/km,Euro 6d,9 843 km,12/2022,1,Metallic,,Used,,,,,,,,,,,,,,34999
87,MINI,Cooper S,Grey,Grey interior,Cloth interior,Hatchback,2/3 doors,4,not published by the seller,Petrol,Automatic,4x2,131 kW,1 998 ccm,121 g/km,Euro 6d-TEMP,16 000 km,4/2021,,Metallic,1295,Used,,,,,,,,,,,,,,28799
88,Mercedes-Benz,A 45 AMG,Black,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,280 kW,1 991 ccm,171 g/km,Euro 6,56 453 km,5/2017,,,1555,Used,Germany,,,,,,,,,,,,,40649
89,Cupra,Leon,Black,Brown interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x2,180 kW,1 395 ccm,113 g/km,Euro 6d,10 km,8/2023,,Metallic,1660,New,Germany,,,,,,,,,,,,,45799
90,Volkswagen,Passat,Blue,,,Station Wagon,4/5 doors,,not published by the seller,Diesel,Automatic,4x4,140 kW,1 968 ccm,137 g/km,,91 000 km,8/2019,,Metallic,,,,,,,,,,,,,,,,26049
91,BMW,120,Black,Grey interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,135 kW,1 998 ccm,0 g/km,Euro 6d-TEMP,29 276 km,9/2019,1,Metallic,,,,,,,,,,,,,,,,27149
92,BMW,X6,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,230 kW,2 993 ccm,228 g/km,Euro 6,103 499 km,11/2018,,Metallic,,,,,,,,,,,,,,,,47899
93,Audi,A4,Blue,Black interior,Cloth interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,170 kW,2 967 ccm,139 g/km,Euro 6d-TEMP,93 243 km,6/2019,1,Metallic,,,,,06/2024,,,,,,,,,,,28799
94,BMW,X1,Black,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,103 kW,1 499 ccm,0 g/km,No emission class,38 990 km,9/2019,,,,Used,Germany,,,,,,,,,,,,,22449
95,Skoda,Superb,Blue,Black interior,Full leather interior,Station Wagon,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x2,160 kW,1 395 ccm,119 g/km,Euro 6,14 900 km,12/2022,1,,,Used,,,12/2025,Lithium-ion (Li-ion),13 kWh,No,,4 h,,,,,,38249
96,Opel,Corsa,Black,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,66 kW,1 398 ccm,118 g/km,Euro 6,49 099 km,8/2017,2,Metallic,,,,,,,,,,,,,,,,13299
97,BMW,X6,Grey,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,230 kW,2 993 ccm,187 g/km,Euro 6d-TEMP,84 500 km,8/2019,,Metallic,,,,,,,,,,,,,,,,49899
98,Suzuki,Swift,Yellow,Other interior color,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,95 kW,1 373 ccm,125 g/km,Euro 6d-TEMP,5 km,10/2023,1,,,,,,,,,,,,,,,,,22049
99,Peugeot,Expert,Black,Black interior,,Cargo VAN,4/5 doors,3,not published by the seller,Diesel,Automatic,4x2,106 kW,1 997 ccm,163 g/km,Euro 6,24 330 km,11/2022,1,,,Used,,12/2024,,,,,,,,,,,,34599
100,Audi,RS7,Black,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,441 kW,3 996 ccm,263 g/km,Euro 6d,15 900 km,5/2023,1,Metallic,,,,,,,,,,,,,,,,148299
101,Jeep,Renegade,Black,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,88 kW,999 ccm,128 g/km,No emission class,43 265 km,3/2021,,Metallic,,,,,,,,,,,,,,,,22099
102,Ford,Puma,Grey,Grey interior,Other interior material,SUV / offroad,4/5 doors,2,not published by the seller,Petrol,Manual,4x2,92 kW,1 000 ccm,106 g/km,Euro 6,24 316 km,9/2020,1,Metallic,,,,,,,,,,,,,,,,21649
103,Volkswagen,T-Roc,Grey,Grey interior,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,110 kW,1 498 ccm,127 g/km,Euro 6,75 331 km,1/2020,,,,,,,,,,,,,,,,,,24599
104,Mazda,MX-30,White,Brown interior,Part leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,107 kW,,0 g/km,No emission class,18 890 km,3/2022,1,Metallic,,,,,03/2025,Lithium-ion (Li-ion),36 kWh,No,,,,,,,,23199
105,Renault,Captur,Grey,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,67 kW,999 ccm,122 g/km,Euro 6d,16 990 km,4/2023,1,Metallic,,,,,,,,,,,,,,,,18849
106,Volkswagen,Golf,Silver,Beige interior,Cloth interior,Station Wagon,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,81 kW,999 ccm,108 g/km,Euro 6,84 467 km,4/2021,1,Metallic,,,,,04/2024,,,,,,,,,,,20399
107,Mercedes-Benz,A 200,White,Black interior,Alcantara interior,Sedans / saloons,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,120 kW,1 332 ccm,122 g/km,Euro 6d-TEMP,56 500 km,7/2019,,Metallic,,,,,01/2023,,,,,,,,,,,33049
